"Microsoft Corporation"
"Date","High","Low","Close","Volume"
"15 Oct 91", 92.250, 90.750, 91.375,1210000
"16 Oct 91", 91.500, 89.875, 90.750,2080000
"17 Oct 91", 90.750, 88.500, 89.250,1990000
"18 Oct 91", 91.250, 89.750, 90.000, 788000
"21 Oct 91", 91.500, 89.750, 91.000, 598000
"22 Oct 91", 92.750, 91.250, 91.375, 677000
"23 Oct 91", 92.000, 89.750, 90.250, 765000
"24 Oct 91", 90.500, 89.250, 90.250, 561000
"25 Oct 91", 90.750, 89.250, 89.500, 585000
"28 Oct 91", 90.250, 87.750, 90.250, 791000
"29 Oct 91", 90.750, 89.750, 90.750, 761000
"30 Oct 91", 94.750, 90.750, 94.500,1360000
"31 Oct 91", 95.250, 93.250, 93.875, 856000
"01 Nov 91", 93.750, 92.000, 92.625, 715000
"04 Nov 91", 92.500, 90.750, 91.000, 593000
"05 Nov 91", 94.500, 91.000, 93.750,1080000
"06 Nov 91", 95.500, 93.250, 95.250, 798000
"07 Nov 91", 95.750, 94.500, 94.750, 435000
"08 Nov 91", 96.750, 95.000, 95.250, 760000
"11 Nov 91", 98.000, 95.625, 97.500, 845000
"12 Nov 91",100.750, 98.000, 99.875,1670000
"13 Nov 91",101.750, 98.750,101.000,1190000
"14 Nov 91",101.500, 98.750, 99.250, 922000
"15 Nov 91",100.500, 94.750, 95.000,1480000
"18 Nov 91", 97.750, 94.500, 97.250,1500000
"19 Nov 91", 97.375, 94.250, 96.250,1500000
"20 Nov 91", 97.500, 96.000, 96.500, 759000
"21 Nov 91", 97.250, 95.750, 97.250, 741000
"22 Nov 91", 97.500, 95.250, 96.000, 794000
"25 Nov 91", 97.000, 95.250, 95.625, 703000
"26 Nov 91", 96.250, 92.750, 94.500,1230000
"27 Nov 91", 95.500, 94.000, 95.250, 313000
"29 Nov 91", 97.750, 94.750, 97.250, 428000
"02 Dec 91",101.500, 96.000,101.250,1160000
"03 Dec 91",102.750, 99.500,101.375,1350000
"04 Dec 91",103.000,100.000,102.000, 756000
"05 Dec 91",102.250,100.750,101.750, 519000
"06 Dec 91",105.250,101.000,104.250,1070000
"09 Dec 91",103.750,101.250,102.000,1200000
"10 Dec 91",102.000,100.000,101.750, 958000
"11 Dec 91",102.750, 99.500,100.750, 811000
"12 Dec 91",103.250,100.500,102.000, 769000
"13 Dec 91",102.750,101.500,102.000, 546000
"16 Dec 91",102.250,100.750,102.125, 567000
"17 Dec 91",103.500,101.500,101.875, 572000
"18 Dec 91",103.250,101.250,102.875, 699000
"19 Dec 91",103.250,101.250,102.750, 792000
"20 Dec 91",105.000,102.250,103.250, 732000
"23 Dec 91",106.750,102.500,106.750, 961000
"24 Dec 91",107.500,106.000,106.250, 500000
"26 Dec 91",108.250,105.750,107.875, 507000
"27 Dec 91",111.500,107.750,110.375, 764000
"30 Dec 91",111.250,109.500,110.750, 740000
"31 Dec 91",112.000,108.750,111.250, 835000
"02 Jan 92",114.750,109.500,114.000,1540000
"03 Jan 92",114.250,111.750,113.000, 787000
"06 Jan 92",117.750,112.375,116.500,1310000
"07 Jan 92",120.250,115.750,120.000,1330000
"08 Jan 92",125.750,118.750,124.250,1880000
"09 Jan 92",129.000,124.000,127.250,1830000
"10 Jan 92",127.750,124.000,125.250,1340000
"13 Jan 92",128.875,122.750,127.125,1100000
"14 Jan 92",128.500,126.000,128.250, 917000
"15 Jan 92",133.250,128.250,131.500,1350000
"16 Jan 92",132.000,127.500,127.750,1220000
"17 Jan 92",129.500,123.750,126.500,1760000
"20 Jan 92",127.250,122.500,122.500,1230000
"21 Jan 92",123.000,116.000,119.375,2500000
"22 Jan 92",125.500,119.000,125.500,1160000
"23 Jan 92",129.375,123.750,125.000,1560000
"24 Jan 92",125.500,124.000,124.625, 787000
"27 Jan 92",125.000,120.500,120.625, 962000
"28 Jan 92",121.750,116.000,120.750,1960000
"29 Jan 92",125.750,121.750,124.500,1990000
"30 Jan 92",124.750,121.500,123.500, 858000
"31 Jan 92",123.750,119.750,120.250,1020000
"03 Feb 92",125.500,117.500,125.000,1610000
"04 Feb 92",126.000,122.500,124.500,1220000
"05 Feb 92",128.500,123.500,127.250,1460000
"06 Feb 92",129.000,125.750,126.250,1290000
"07 Feb 92",127.500,124.000,125.750, 760000
"10 Feb 92",126.000,122.000,124.500, 854000
"11 Feb 92",124.750,121.500,122.500, 857000
"12 Feb 92",126.750,118.500,125.750,1740000
"13 Feb 92",126.500,121.500,122.500,2020000
"14 Feb 92",122.500,118.000,118.500,1720000
"18 Feb 92",122.250,118.000,118.250,1540000
"19 Feb 92",118.000,113.500,115.125,3030000
"20 Feb 92",119.250,115.750,117.500,1550000
"21 Feb 92",118.500,113.750,114.500,1900000
"24 Feb 92",116.500,113.000,114.875,1220000
"25 Feb 92",116.500,113.250,115.750,1200000
"26 Feb 92",122.000,116.000,122.000,2040000
"27 Feb 92",125.250,122.750,124.875,1660000
"28 Feb 92",126.500,122.250,123.500,1210000
"02 Mar 92",124.750,121.750,123.000, 726000
"03 Mar 92",125.250,122.500,123.250, 578000
"04 Mar 92",124.250,121.750,122.500, 689000
"05 Mar 92",123.250,119.250,121.250,1160000
"06 Mar 92",122.000,116.750,118.250,1290000
"09 Mar 92",120.500,118.250,119.000, 634000
"10 Mar 92",122.750,119.250,121.750, 948000
"11 Mar 92",123.250,119.250,120.250, 820000
"12 Mar 92",121.500,118.500,121.125,1040000
"13 Mar 92",123.000,120.500,121.000, 765000
"16 Mar 92",124.250,120.500,124.250,1150000
"17 Mar 92",128.750,124.750,128.000,1970000
"18 Mar 92",129.000,126.000,126.375,1440000
"19 Mar 92",130.250,126.500,127.500,2280000
"20 Mar 92",129.000,127.500,128.500, 745000
"23 Mar 92",129.250,127.750,128.500, 788000
"24 Mar 92",129.875,126.500,127.500,1460000
"25 Mar 92",129.250,127.000,128.500, 746000
"26 Mar 92",129.000,124.250,125.000,1250000
"27 Mar 92",125.000,119.500,121.250,1860000
"30 Mar 92",122.000,120.000,120.000, 848000
"31 Mar 92",122.000,117.750,118.500,1800000
"01 Apr 92",120.750,117.000,120.500,1540000
"02 Apr 92",121.500,116.750,117.000,1180000
"03 Apr 92",119.250,116.750,117.500,1240000
"06 Apr 92",121.625,117.750,121.250, 835000
"07 Apr 92",122.500,115.750,116.000,1520000
"08 Apr 92",117.500,113.250,117.250,2200000
"09 Apr 92",120.250,116.625,120.000,1460000
"10 Apr 92",122.000,114.000,116.000,2600000
"13 Apr 92",118.125,114.250,117.500, 949000
"14 Apr 92",120.250,116.500,117.000,1500000
"15 Apr 92",129.500,126.500,128.875,4630000
"16 Apr 92",129.000,127.000,127.625,1380000
"20 Apr 92",124.750,115.500,118.125,4590000
"21 Apr 92",118.500,115.500,116.125,2060000
"22 Apr 92",118.500,114.500,117.625,1290000
"23 Apr 92",119.000,112.250,115.750,2380000
"24 Apr 92",116.750,112.000,112.250,1880000
"27 Apr 92",116.500,112.500,113.250,2070000
"28 Apr 92",114.500,107.000,109.000,4130000
"29 Apr 92",111.500,108.250,111.375,2860000
"30 Apr 92",112.750,109.750,110.250,1990000
"01 May 92",114.000,110.250,113.750,1290000
"04 May 92",116.000,112.500,114.000,1540000
"05 May 92",117.500,113.250,116.500,1230000
"06 May 92",117.250,115.500,116.000,1040000
"07 May 92",116.500,114.250,115.000, 845000
"08 May 92",117.000,113.250,114.500,1250000
"11 May 92",115.250,113.250,114.000, 857000
"12 May 92",115.250,112.750,114.250,1040000
"13 May 92",114.250,111.000,112.750,1340000
"14 May 92",113.000,109.250,110.750,1510000
"15 May 92",111.500,109.500,110.000, 850000
"18 May 92",113.500,110.500,112.750, 780000
"19 May 92",114.500,113.250,114.500,1070000
"20 May 92",117.000,114.500,116.750,1230000
"21 May 92",117.000,115.250,116.625,1010000
"22 May 92",117.000,115.000,115.750, 770000
"26 May 92",117.000,115.000,115.500, 796000
"27 May 92",116.250,114.750,115.000, 649000
"28 May 92",119.500,114.500,119.000,1310000
"29 May 92",122.250,119.500,121.000,1850000
"01 Jun 92",124.250,120.000,124.250,1430000
"02 Jun 92",124.500,122.250,122.875, 886000
"03 Jun 92",124.250,122.500,123.000, 587000
"04 Jun 92",123.500,122.500,122.625, 850000
"05 Jun 92",123.000,120.750,121.000, 853000
"08 Jun 92",121.000,118.250,118.250, 838000
"09 Jun 92",119.000,114.000,115.000,1760000
"10 Jun 92",115.500,112.000,112.500,1360000
"11 Jun 92",115.250,107.500,108.000,2590000
"12 Jun 92",113.000,108.875,112.500,2880000
"SPLIT",1.5,0.0,0.0,0
"15 Jun 92", 78.000, 75.000, 75.750,1710000
"16 Jun 92", 76.500, 72.500, 72.750,1790000
"17 Jun 92", 73.250, 71.500, 72.375,2190000
"18 Jun 92", 74.750, 71.000, 72.250,1670000
"19 Jun 92", 74.250, 72.750, 73.500,1350000
"22 Jun 92", 74.500, 71.500, 74.250,1690000
"23 Jun 92", 75.750, 72.750, 73.500,1790000
"24 Jun 92", 73.750, 71.750, 72.250,1060000
"25 Jun 92", 72.250, 66.500, 70.000,5190000
"26 Jun 92", 69.750, 65.750, 66.750,4400000
"29 Jun 92", 72.750, 68.250, 72.250,2840000
"30 Jun 92", 73.000, 69.500, 70.000,2310000
"01 Jul 92", 72.750, 69.500, 72.125,1410000
"02 Jul 92", 73.000, 68.750, 69.875,2500000
"06 Jul 92", 70.250, 67.750, 69.500,1130000
"07 Jul 92", 69.750, 67.250, 68.000,1700000
"08 Jul 92", 69.000, 65.500, 68.625,2910000
"09 Jul 92", 70.750, 68.250, 69.000,1910000
"10 Jul 92", 70.000, 67.625, 69.500, 903000
"13 Jul 92", 71.250, 68.500, 70.000,1100000
"14 Jul 92", 71.500, 70.250, 71.125,1280000
"15 Jul 92", 73.250, 71.000, 71.500,2500000
"16 Jul 92", 72.250, 70.750, 72.250,1320000
"17 Jul 92", 72.000, 69.750, 70.250,1870000
"20 Jul 92", 70.250, 68.500, 69.250,1520000
"21 Jul 92", 72.750, 69.500, 71.750,1430000
"22 Jul 92", 71.750, 69.500, 70.000,1820000
"23 Jul 92", 72.250, 68.750, 71.000,2150000
"24 Jul 92", 73.750, 71.000, 72.750,2380000
"27 Jul 92", 73.500, 72.250, 73.000, 954000
"28 Jul 92", 74.500, 72.750, 74.000,1420000
"29 Jul 92", 74.750, 72.000, 74.000,4490000
"30 Jul 92", 74.500, 73.000, 73.125,1110000
"31 Jul 92", 73.500, 72.250, 72.750,1100000
"03 Aug 92", 74.250, 72.000, 73.750, 984000
"04 Aug 92", 74.500, 73.500, 73.875, 982000
"05 Aug 92", 73.750, 71.250, 72.000,1880000
"06 Aug 92", 72.000, 70.250, 71.500,1160000
"07 Aug 92", 73.750, 70.500, 70.750,1710000
"10 Aug 92", 72.500, 70.750, 70.875,1310000
"11 Aug 92", 71.875, 70.000, 71.375,1040000
"12 Aug 92", 72.500, 70.750, 71.000, 925000
"13 Aug 92", 71.750, 70.500, 70.875, 882000
"14 Aug 92", 71.750, 70.750, 71.000,1060000
"17 Aug 92", 71.000, 69.500, 69.500,1980000
"18 Aug 92", 70.750, 68.000, 69.500,2070000
"19 Aug 92", 70.500, 68.750, 69.250, 857000
"20 Aug 92", 70.750, 69.000, 70.375,1140000
"21 Aug 92", 70.875, 69.000, 69.750,1650000
"24 Aug 92", 70.000, 68.750, 69.000,1340000
"25 Aug 92", 70.750, 68.500, 70.375,1160000
"26 Aug 92", 72.250, 70.250, 71.625,1560000
"27 Aug 92", 74.000, 72.000, 73.625,2750000
"28 Aug 92", 74.500, 73.500, 74.375,1540000
"31 Aug 92", 75.000, 73.500, 74.500, 802000
"01 Sep 92", 74.625, 73.250, 74.500, 963000
"02 Sep 92", 75.750, 73.750, 75.375,1940000
"03 Sep 92", 77.250, 75.500, 76.625,2600000
"04 Sep 92", 76.500, 75.500, 76.000, 893000
"08 Sep 92", 76.875, 75.250, 76.750,1540000
"09 Sep 92", 78.375, 76.500, 78.125,1910000
